"Nr";"Deutsch";"Franzoesisch";"Hinweis";"Anmerkung"
"1";"%@, Bewertung %lld von 5 Sternen";"%1$@, note %2$lld sur 5 étoiles";"Platzhalter";""
"2";"%lld Bild(er) analysieren";"one: Analyser %lld image | other: Analyser %lld images | zero: Analyser %lld image";"Platzhalter, Pluralformen";""
"3";"%lld Erinnerungen gesetzt. ⏎ Backofen anstellen um %@ Uhr. ⏎ Fertig um %@ Uhr.";"%1$lld rappels définis. ⏎ Allumer le four à %2$@. ⏎ Terminé à %3$@.";"Platzhalter, Zeilenumbruch";""
"4";"%lld Erinnerungen gesetzt. ⏎ Backofen anstellen um %@ Uhr. ⏎ Fertig um %@ Uhr. ⏎  ⏎ %@";"%1$lld rappels définis. ⏎ Allumer le four à %2$@. ⏎ Terminé à %3$@. ⏎  ⏎ %4$@";"Platzhalter, Zeilenumbruch";""
"5";"%lld Sterne und mehr";"%lld étoiles et plus";"Platzhalter";""
"6";"%lld Zutaten";"%lld ingrédients";"Platzhalter";""
"7";"+ Historie";"+ Historique";"";""
"8";"Ab";"À";"";""
"9";"Abbrechen";"Annuler";"";""
"10";"Ablage";"Emplacement";"";""
"11";"Ablehnen";"Refuser";"";""
"12";"Abmelden";"Se déconnecter";"";""
"13";"Administrator";"Administrateur";"";""
"14";"Akzeptieren";"Accepter";"";""
"15";"Alle";"Toutes";"";""
"16";"Alle Bewertungen";"Toutes les notes";"";""
"17";"Alle löschen";"Tout supprimer";"";""
"18";"Alle nachfolgenden";"Toutes les suivantes";"";""
"19";"Allgemein";"Général";"";""
"20";"Als eigenes Rezept speichern";"Enregistrer comme ma recette";"";""
"21";"Als Liste oder Timeline";"Sous forme de liste ou de Timeline";"";""
"22";"Analyse nicht möglich";"Analyse impossible";"";""
"23";"Andere Bilder auswählen";"Sélectionner d’autres images";"";""
"24";"Angemeldet als";"Connecté en tant que";"";""
"25";"Anzahl";"Quantité";"";""
"26";"Apple-Login lieferte kein gültiges Token.";"La connexion avec Apple n’a pas fourni de jeton valide.";"";""
"27";"Arbeitsschritte";"Étapes";"";""
"28";"Auf den Bildern wurde kein ausreichend lesbarer Text erkannt.";"Aucun texte suffisamment lisible n’a été détecté sur les images.";"";""
"29";"Aufnehmen";"Prendre une photo";"";""
"30";"Ausgewählte Seiten";"Pages sélectionnées";"";""
"31";"Autor blockieren";"Bloquer l'auteur";"";""
"32";"Back Hit-Liste";"Palmarès de cuisson";"";""
"33";"Back-Kommentare";"Commentaires de cuisson";"";""
"34";"Backanmerkungen- / hinweise";"Notes de cuisson";"";""
"35";"Backdatum";"Date de cuisson";"";""
"36";"Backen";"Cuire";"";""
"37";"Backhinweis";"Rappel de cuisson";"";""
"38";"Backhistorie";"Historique de cuisson";"";""
"39";"Backpause";"Pause de cuisson";"";""
"40";"Backplaner";"Planificateur de cuisson";"";""
"41";"Backplanung";"Planification de cuisson";"";""
"42";"Backzeiten überschneiden sich";"Chevauchement des temps de cuisson";"";""
"43";"Beginn";"Début";"";""
"44";"Beschreibung";"Description";"";""
"45";"Beschreibung: ";"Description : ";"";""
"46";"Bestehende Einkaufslisten";"Listes de courses existantes";"";""
"47";"Bestehende Liste";"Liste existante";"";""
"48";"Betroffene Schritte";"Étapes concernées";"";""
"49";"Bevor Du teilst";"Avant de partager";"";""
"50";"Bewertung";"Note";"";""
"51";"Bild erforderlich";"Image requise";"";""
"52";"Bilder auswählen";"Sélectionner des images";"";""
"53";"Bis";"Pour";"";""
"54";"Bist Du sicher?";"Êtes-vous sûr ?";"";""
"55";"Bitte besonders prüfen";"À vérifier attentivement";"";""
"56";"Bitte prüfe Mengen, Einheiten, Temperaturen und Zeiten im nächsten Schritt. Das Rezept wird erst gespeichert, wenn du dort „Rezept speichern“ auswählst.";"Vérifiez les quantités, les unités, les températures et les durées à l’étape suivante. La recette n’est enregistrée que lorsque vous y sélectionnez « Enregistrer la recette ».";"";""
"57";"Das Backende (%@) liegt nur %lld Minuten vor dem Backbeginn von „%@“. Die Backpause beträgt %lld Minuten.";"La fin de la cuisson (%1$@) n’a lieu que %2$lld minutes avant le début de la cuisson de « %3$@ ». La pause entre deux cuissons est de %4$lld minutes.";"Platzhalter";""
