"Nr";"Deutsch";"Englisch";"Franzoesisch";"Status";"Hinweis";"Anmerkung EN";"Anmerkung FR"
"1";"%@, privates Rezept, Bewertung %lld von 5 Sternen";"%1$@, private recipe, rating %2$lld out of 5 stars";"%1$@, recette privée, note %2$lld sur 5 étoiles";"en=machine_translated / fr=machine_translated";"Platzhalter";"";""
"2";"%lld von %lld Sternen";"%1$lld out of %2$lld stars";"%1$lld sur %2$lld étoiles";"en=machine_translated / fr=machine_translated";"Platzhalter";"";""
"3";"Alle Rezepte";"All recipes";"Toutes les recettes";"en=machine_translated / fr=machine_translated";"";"";""
"4";"Allgemeine Rezeptvorlage";"General recipe source";"Source de recette générale";"en=machine_translated / fr=machine_translated";"";"";""
"5";"Als Rezeptnamen übernehmen";"Use as the recipe name";"Utiliser comme nom de la recette";"en=machine_translated / fr=machine_translated";"";"";""
"6";"Als öffentliches Rezept speichern";"Save as a public recipe";"Enregistrer comme recette publique";"en=machine_translated / fr=machine_translated";"";"";""
"7";"Anmeldung erforderlich";"Sign-in required";"Connexion requise";"en=machine_translated / fr=machine_translated";"";"";""
"8";"Apple-Konto";"Apple Account";"Compte Apple";"en=machine_translated / fr=machine_translated";"";"";""
"9";"Auswahl";"Selection";"Sélection";"en=machine_translated / fr=machine_translated";"";"";""
"10";"Automatisch";"Automatic";"Automatique";"en=machine_translated / fr=machine_translated";"";"";""
"11";"Backfoto anzeigen";"Show baking photo";"Afficher la photo de cuisson";"en=machine_translated / fr=machine_translated";"";"";""
"12";"Bruch";"Fraction";"Fraction";"en=machine_translated / fr=machine_translated";"";"";""
"13";"Cloud-Rezept kann nicht geändert werden";"Cloud recipe cannot be changed";"La recette dans le cloud ne peut pas être modifiée";"en=machine_translated / fr=machine_translated";"";"";""
"14";"Das Rezept bleibt auf dem Gerät und wird über Deine iCloud gesichert.";"The recipe stays on the device and is backed up through your iCloud.";"La recette reste sur l’appareil et est sauvegardée dans votre iCloud.";"en=machine_translated / fr=machine_translated";"";"";""
"15";"Das Rezept steht jetzt allen Nutzern zur Verfügung. Deine private Fassung ist unverändert — Du kannst sie über „Weitere Aktionen“ löschen, wenn Du sie nicht doppelt behalten willst.";"The recipe is now available to all users. Your private version is unchanged—you can delete it from “More actions” if you don’t want to keep two copies of it.";"La recette est désormais disponible pour tous les utilisateurs. Votre version privée est inchangée — vous pouvez la supprimer via « Plus d’actions » si vous ne souhaitez pas la conserver en double.";"en=machine_translated / fr=machine_translated";"langer Text";"";""
"16";"Das Rezept wird endgültig aus Deiner privaten Ablage in der Rezept-Datenbank entfernt.";"The recipe will be permanently removed from your private storage in the recipe database.";"La recette sera supprimée définitivement de votre emplacement privé dans la base de recettes.";"en=machine_translated / fr=machine_translated";"";"";""
"17";"Das Rezept wird für alle Nutzer sichtbar und kann danach nicht mehr geändert werden. Veröffentliche nur Rezepte, die keine Urheberrechte verletzen. Deine private Fassung bleibt erhalten.";"The recipe becomes visible to all users and can no longer be changed afterward. Only publish recipes that don’t infringe copyright. Your private version is kept.";"La recette devient visible par tous les utilisateurs et ne pourra plus être modifiée ensuite. Ne publiez que des recettes qui ne portent atteinte à aucun droit d’auteur. Votre version privée est conservée.";"en=machine_translated / fr=machine_translated";"langer Text";"";""
"18";"Das Rezept wird für alle Nutzer sichtbar. Veröffentliche nur Rezepte, die keine Urheberrechte verletzen.";"The recipe becomes visible to all users. Only publish recipes that don’t infringe copyright.";"La recette devient visible par tous les utilisateurs. Ne publiez que des recettes qui ne portent atteinte à aucun droit d’auteur.";"en=machine_translated / fr=machine_translated";"";"";""
"19";"Das Rezept wird in der Rezept-Datenbank gesichert, ist aber nur für Dich sichtbar. Geeignet für Rezepte, die Du nicht veröffentlichen darfst. Dazu ist eine Anmeldung mit Apple nötig.";"The recipe is saved in the recipe database, but is visible only to you. Suitable for recipes you aren’t allowed to publish. This requires Sign in with Apple.";"La recette est enregistrée dans la base de recettes, mais elle n’est visible que par vous. Convient aux recettes que vous n’avez pas le droit de publier. Pour cela, vous devez vous connecter avec Apple.";"en=machine_translated / fr=machine_translated";"langer Text";"";""
"20";"Dauer in Minuten";"Duration in minutes";"Durée en minutes";"en=machine_translated / fr=machine_translated";"";"";""
